area,iscrowd,image_id,bbox,category_id,box_id,file_name,height,width,street_id,supercategory
342,0,3,"[880, 333, 19, 18]",2,0,3.png,626,1622,3,Cấm dừng và đỗ
63,0,5,"[768, 480, 9, 7]",2,2,5.png,626,1622,4,Cấm dừng và đỗ
56,0,16,"[733, 352, 7, 8]",2,4,16.png,626,1622,3,Cấm dừng và đỗ
5400,0,17,"[1024, 160, 75, 72]",2,5,17.png,626,1622,8,Cấm dừng và đỗ
1927,0,18,"[1138, 295, 47, 41]",2,6,18.png,626,1622,3,Cấm dừng và đỗ
48,0,18,"[979, 363, 8, 6]",2,8,18.png,626,1622,3,Cấm dừng và đỗ
48,0,21,"[697, 321, 8, 6]",2,11,21.png,626,1622,4,Cấm dừng và đỗ
18200,0,22,"[1021, 140, 140, 130]",2,12,22.png,626,1622,8,Cấm dừng và đỗ
208,0,25,"[860, 222, 16, 13]",2,14,25.png,626,1622,7,Cấm dừng và đỗ
624,0,28,"[320, 438, 26, 24]",2,16,28.png,626,1622,4,Cấm dừng và đỗ
169,0,28,"[775, 455, 13, 13]",2,17,28.png,626,1622,4,Cấm dừng và đỗ
160,0,29,"[965, 202, 10, 16]",2,18,29.png,626,1622,7,Cấm dừng và đỗ
960,0,37,"[885, 179, 30, 32]",2,22,37.png,626,1622,7,Cấm dừng và đỗ
2464,0,50,"[1340, 377, 56, 44]",2,27,50.png,626,1622,12,Cấm dừng và đỗ
1295,0,51,"[869, 265, 37, 35]",2,31,51.png,626,1622,8,Cấm dừng và đỗ
72,0,55,"[718, 317, 9, 8]",2,33,55.png,626,1622,4,Cấm dừng và đỗ
130,0,65,"[822, 253, 13, 10]",2,38,65.png,626,1622,8,Cấm dừng và đỗ
306,0,74,"[911, 293, 18, 17]",2,40,74.png,626,1622,8,Cấm dừng và đỗ
110,0,89,"[780, 215, 11, 10]",2,47,89.png,626,1622,7,Cấm dừng và đỗ
221,0,121,"[982, 357, 17, 13]",2,57,121.png,626,1622,3,Cấm dừng và đỗ
264,0,123,"[838, 216, 12, 22]",2,59,123.png,626,1622,7,Cấm dừng và đỗ
1680,0,124,"[936, 184, 40, 42]",2,61,124.png,626,1622,7,Cấm dừng và đỗ
4422,0,147,"[1460, 167, 67, 66]",2,67,147.png,626,1622,8,Cấm dừng và đỗ
2112,0,155,"[1136, 174, 48, 44]",2,71,155.png,626,1622,13,Cấm dừng và đỗ
2340,0,155,"[1133, 255, 52, 45]",2,72,155.png,626,1622,13,Cấm dừng và đỗ
1254,0,159,"[1051, 335, 38, 33]",2,74,159.png,626,1622,3,Cấm dừng và đỗ
90,0,160,"[814, 218, 9, 10]",2,76,160.png,626,1622,7,Cấm dừng và đỗ
272,0,161,"[828, 440, 17, 16]",2,78,161.png,626,1622,4,Cấm dừng và đỗ
1020,0,163,"[894, 319, 34, 30]",2,79,163.png,626,1622,8,Cấm dừng và đỗ
1053,0,163,"[12, 262, 27, 39]",2,80,163.png,626,1622,8,Cấm dừng và đỗ
1496,0,172,"[1164, 274, 44, 34]",2,83,172.png,626,1622,13,Cấm dừng và đỗ
1258,0,172,"[1177, 207, 37, 34]",2,84,172.png,626,1622,13,Cấm dừng và đỗ
195,0,209,"[764, 307, 15, 13]",2,99,209.png,626,1622,4,Cấm dừng và đỗ
255,0,221,"[792, 353, 17, 15]",2,102,221.png,626,1622,3,Cấm dừng và đỗ
1320,0,228,"[852, 295, 40, 33]",2,105,228.png,626,1622,3,Cấm dừng và đỗ
14544,0,233,"[1476, 6, 144, 101]",2,108,233.png,626,1622,8,Cấm dừng và đỗ
